Running time,Based on,Clean box office,Clean budget,English,Year,Covid-19,20th Century Fox,Other studio,Paramount Pictures,Sony Pictures Releasing,Streaming,Universal Pictures,Walt Disney Studios,Warner Bros. Pictures,Month,G,PG,PG-13,R,Part_of_franchise,Sci-fi,Biography,Documentary,Mystery & thriller,Drama,Holiday,Western,Horror,Fantasy,Action,Kids & family,Lgbtq+,War,Crime,Comedy,History,Music,Romance,Adventure,Animation,Musical,Lionsgate,Max_prev_box_office_director,Prev_box_office_actors,Avg_ratings_score_director,Median_main_genre_box_office,Weekly_budget_ratio,Previous_movie_box_office
107.0,1,71900000.0,26000000.0,1,2000,0,False,False,False,False,False,False,True,False,5,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,60600000.0,844515384.8,88.6,12412330.0,0.08888888888888889,0.0
102.0,1,7400000.0,4500000.0,1,2000,0,False,True,False,False,False,False,False,False,5,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3200000.0,350974042.4,85.0,6072326.0,0.015384615384615385,0.0
92.0,0,11200000.0,8000000.0,1,2000,0,False,True,False,False,False,False,False,False,5,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,1458763410.2,64.53950143811011,6100000.0,0.09815950920245399,0.0
88.0,0,2000000.0,10000000.0,1,2000,0,False,True,False,False,False,False,False,False,5,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,8300000.000000001,407978640.6,71.0,12500000.0,0.12269938650306748,0.0
94.0,0,119800000.0,16000000.0,1,2000,0,False,True,False,False,False,False,False,False,5,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,87036631.0,64.53950143811011,6200000.0,0.19631901840490798,0.0
93.0,0,26300000.0,10000000.0,1,2000,0,True,False,False,False,False,False,False,False,5,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,0.0,72360000.0,64.53950143811011,12412330.0,0.12269938650306748,0.0
95.0,0,29900000.0,25000000.0,1,2000,0,False,True,False,False,False,False,False,False,5,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,37500000.0,1032465403.8,69.44444444444444,18386447.0,0.3067484662576687,0.0
124.0,1,546300000.0,122500000.0,1,2000,0,False,False,True,False,False,False,False,False,5,False,False,True,False,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False,74200000.0,2031865227.6,49.0,58650000.0,0.6464379947229552,457700000.0
105.0,0,769272.0,12000000.0,1,2000,0,False,False,True,False,False,False,False,False,5,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,1679814868.4,64.53950143811011,6200000.0,0.0633245382585752,0.0
110.0,0,99300000.0,55000000.0,1,2000,0,False,False,False,False,False,False,True,False,5,False,False,True,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,False,0.0,353520069.0,64.53950143811011,12500000.0,0.29023746701846964,0.0
99.0,0,174000000.0,30000000.0,1,2000,0,True,False,False,False,False,False,False,False,6,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,84600000.0,629646872.4,48.0,12600000.0,1.0,0.0
118.0,1,237200000.0,96650000.0,1,2000,0,False,False,False,False,False,False,True,False,6,False,False,True,False,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,2400000.0,1827824738.0,64.0,59300000.0,1.0,0.0
94.0,0,25800000.0,13000000.0,1,2000,0,False,True,False,False,False,False,False,False,6,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,103200000.0,819059695.2,55.0,18500000.0,0.09187279151943463,0.0
100.0,1,107200000.0,46000000.0,1,2000,0,False,False,True,False,False,False,False,False,6,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,57500000.0,1388807903.4,83.0,60650000.0,0.3250883392226148,0.0
94.0,0,36800000.0,82500000.0,1,2000,0,True,False,False,False,False,False,False,False,6,False,True,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False,140000000.0,2465363451.0,61.25,45700000.0,0.5830388692579506,0.0
84.0,0,227800000.0,43500000.0,1,2000,0,False,True,False,False,False,False,False,False,6,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,False,0.0,2000000000.0,64.53950143811011,27050000.0,0.4603174603174603,0.0
116.0,0,149300000.0,51000000.0,1,2000,0,True,False,False,False,False,False,False,False,6,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,0.0,2161676620.6,64.53950143811011,12700000.0,0.5396825396825397,0.0
165.0,0,215300000.0,110000000.0,1,2000,0,False,False,False,True,False,False,False,False,6,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,817400000.0,2218320000.0,55.5,98100000.0,0.421455938697318,0.0
116.0,0,295683.0,40000000.0,1,2000,0,False,False,False,True,False,False,False,False,6,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,18800000.0,877929049.8,46.8,12750000.0,0.1532567049808429,0.0
92.0,1,35100000.0,76000000.0,1,2000,0,False,False,False,False,False,True,False,False,6,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False,1161063.0,1150067106.2,40.0,27200000.0,0.29118773946360155,0.0
88.0,0,278000000.0,19000000.0,1,2000,0,False,True,False,False,False,False,False,False,7,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,29400000.0,5842017.600000001,70.0,12700000.0,0.1688888888888889,0.0
74.0,1,68500000.0,9500000.0,0,2000,0,False,True,False,False,False,False,False,False,7,False,False,False,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,23000000.0,64.53950143811011,43850000.0,0.08444444444444445,0.0
84.0,1,19700000.0,19000000.0,1,2000,0,False,True,False,False,False,False,False,False,7,True,False,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False,0.0,561315409.8,64.53950143811011,27800000.0,0.1688888888888889,0.0
104.0,1,296300000.0,75000000.0,1,2000,0,True,False,False,False,False,False,False,False,7,False,False,True,False,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,False,67000000.0,959628878.8,76.0,62000000.0,1.0,0.0
